"Designator","ValueType","ValueDescription","ValueManufacturerPartNumber","ValueManufacturer","Quantity",

"C1, C4, C5, C9, C10, C12, C13, C14, C15, C17, C18","Конденсатор","0,1мкФ  X7R 10% 0603 SMD","","","11",
"C2, C3","Конденсатор","22nФ  NP0 5% 0603 SMD","","","2",
"C6, C16","Конденсатор","н.у.","","","2",
"C7","Конденсатор","1мкФ  X7R 10% 0603 SMD","","","1",
"C8, C11","Конденсатор","4,7мкФ   20% 0607 SMD","","","2",
"DD1","Операционный усилитель","Операционный усилитель","LMV358IDR","Texas Instruments","1",
"DD2","Микроконтроллер","Микроконтроллер","ATMEGA16U2-MU","ATMEGA","1",
"DD3","Линейный стабилизатор напряжения","Линейный стабилизатор напряжения","LM1117IMPX-5.0","Texas Instruments","1",
"DD4","Линейный стабилизатор напряжения","Линейный стабилизатор напряжения","LP2985-33DBVR","Texas Instruments","1",
"DD5","Микроконтроллер","Микроконтроллер","ATMEGA328P-PU","ATMEGA","1",
"F1","Предохранитель","Предохранитель","MF-MSMF200-2","","1",
"HL1, HL4","Светодиод","Светодиод","FYLS-0603UGC","Foryard","2",
"HL2","Светодиод","Светодиод","FYLS-0603URC ","Foryard","1",
"HL3","Светодиод","Светодиод","FYLS-0603UYC","Foryard","1",
"ICSP1, ICSP2","Разъем штыревой 2,54 мм","Разъем штыревой 2,54 мм  Разъем штыревой 2,54 мм  ","PLD-6","","2",
"L1","Индуктивность","Индуктивность","BLM18AG601SN1D","","1",
"R1, R10, R14, R15","Резистор","680Ом 5% 0603 SMD","","","4",
"R2, R5, R6, R9, R16","Резистор","10кОм 5% 0603 SMD","","","5",
"R3, R4, R7, R18","Резистор","22Ом 1% 0603 SMD","","","4",
"R8, R17","Резистор","1МОм 5% 0603 SMD","","","2",
"R11","Резистор","0Ом 5% 0603 SMD","","","1",
"R12, R13","Резистор","1кОм 1% 0603 SMD","","","2",
"RU1, RU2","Варистор","Варистор","CG0603MLC-05E","","2",
"SB1","Кнопка тактовая","Кнопка тактовая","2-1437565-7","Te Connectivity","1",
"VD1","Диод Шоттки","Диод Шоттки","SS14-E3/61T","Vishay","1",
"VD2, VD3","Диод Шоттки","Диод Шоттки","BAT54HT1G","On Semiconductor","2",
"VT1","MOSFET","Полевой транзистор","SI2333DDS-T1-GE3","Vishay","1",
"X1","Разъем питания","Разъем питания","DJK-02B","KLS","1",
"X2","USB разъем тип B","Разъем","292304-1","Te Connectivity","1",
"X3","Разъем","Разъем","PBS-6","","1",
"X4, X5","Разъем","Разъем","PBS-8","","2",
"X6","Разъем","Разъем","PBS-10","","1",
"ZQ1","Кварцевый резонатор","Кварцевый резонатор","KX-KT 16.0MHz","","1",
"ZQ2","Керамический резонатор","Керамический резонатор","CSTCE16M0V53-R0","Murata","1",
